date,sim_days,excluded_ticker,VaR_95,VaR_99,ES_95,ES_99
20260211,1,8035.T,-2379.487845942179,-3550.861515122016,-2965.4703190240393,-3744.635326454594
20260211,10,4568.T,-8160.918452217687,-12214.348434134465,-10963.266945135028,-15494.001819449366
20260211,10,7011.T,-6640.2819369160725,-9157.01027975368,-8466.716079561367,-11061.352589498996
20260211,10,8035.T,-6459.360904239317,-9547.726280795112,-8293.422233945521,-11111.824359728736
20260212,1,4568.T,-3131.4181999792363,-4401.244287368876,-4016.25372194788,-4931.440834957967
20260212,1,7011.T,-2157.6952305070813,-2975.147285716831,-2719.652807301575,-3291.957316682298
20260212,1,8035.T,-2262.9202854242003,-3307.102026822297,-2924.63372659412,-3834.072832480603
20260212,10,4568.T,-8434.605867815037,-12602.711614127653,-11350.855379934274,-15239.388064909255
20260212,10,7011.T,-6799.052857454344,-9826.949608749184,-8675.350940225473,-11171.886285317229
20260212,10,8035.T,-6410.191705422749,-9702.372982336534,-8468.659181422552,-11252.081954615478
20260213,1,4568.T,-3054.2149338685817,-4425.281546119582,-3898.197064991049,-5148.927039651938
20260213,1,7011.T,-2237.2698107196743,-3190.9138964104195,-2783.190747010039,-3584.4518296907786
20260213,1,8035.T,-2357.47209513746,-3368.0146592332885,-3002.1045354120743,-3775.0636397836233
20260213,10,4568.T,-7639.744999363274,-11445.146387493967,-10111.70552327448,-13501.555483681306
20260213,10,7011.T,-6719.494767324691,-9074.308294287204,-8347.935442779344,-10397.195091392616
20260213,10,8035.T,-6199.742267761109,-9450.93317920207,-8168.411019912687,-11543.405615876183
20260216,1,4568.T,-3038.992383266442,-4555.685927595892,-3924.9285416928233,-4943.0413964859345
20260216,1,7011.T,-2346.1169160784,-3394.433201619456,-2945.4875738564424,-3813.543059774974
20260216,1,8035.T,-2259.5012861405353,-3096.18402441115,-2806.485061810909,-3372.099675317525
20260216,10,4568.T,-8007.835493796247,-12660.876976408576,-10740.945254177735,-13958.03277314885
20260216,10,7011.T,-6682.718461294963,-9498.736757194934,-8559.707388627387,-11823.912485103016
20260216,10,8035.T,-5876.1562831901565,-10050.193964602471,-8017.997036452488,-11186.806637955971
20260217,1,4568.T,-2902.6686176746643,-4226.2404691052425,-3734.79750467151,-4617.934109411946
20260217,1,7011.T,-2230.219656263243,-3086.796773007767,-2778.9787679196825,-3593.2113939491587
20260217,1,8035.T,-1971.682334731378,-2964.308103594444,-2553.7342798289583,-3291.295518682879
20260217,10,4568.T,-8039.132254115828,-11291.583907776225,-10341.16059464309,-13662.635877178773
20260217,10,7011.T,-6734.361720197218,-10201.243232847431,-8705.648153743292,-11585.906676886234
20260217,10,8035.T,-6290.781613229717,-9124.967544706407,-8000.954927878492,-10213.245891666336
20260218,1,4568.T,-3009.359582031128,-4627.030116663399,-4010.264963708321,-5129.971245161361
20260218,1,7011.T,-2259.6405511502953,-3072.271417221012,-2813.3577023066846,-3470.739833112516
20260218,1,8035.T,-2255.902599417777,-3546.316501802779,-2905.26446855821,-3784.7906346867862
20260218,10,4568.T,-8045.700149597765,-11838.20166871362,-10158.216452573986,-13196.627767082891
20260218,10,7011.T,-6474.464300190664,-9593.112048446324,-8232.027844643628,-10396.815376323497
20260218,10,8035.T,-5735.532125179431,-8721.370300737946,-7686.354374004316,-10269.724712247062
20260219,1,4568.T,-3100.899957815619,-4124.007164838822,-3832.9950810247096,-4886.811614392138
20260219,1,7011.T,-2228.038930568751,-3074.0731348169024,-2806.307641952137,-3919.0800272075694
20260219,1,8035.T,-2071.910656180919,-3058.2634840766136,-2697.124060043423,-3431.879076270947
20260219,10,4568.T,-8561.694648506038,-12180.431383685242,-11178.879286837306,-15717.477753412995
20260219,10,7011.T,-6573.673109786005,-10164.375827853157,-8727.294778217523,-11824.599144932983
20260219,10,8035.T,-6092.5027894076065,-9784.29368264978,-8555.176631735898,-12275.212834193904
20260220,1,4568.T,-2821.182948439317,-4148.692791008028,-3684.373870928325,-4847.064447004404
20260220,1,7011.T,-2230.756623930465,-3380.242386726368,-2876.658879110082,-3798.1489127362465
20260220,1,8035.T,-2017.917997219635,-2945.538836677335,-2569.120161314964,-3404.749398524822
20260220,10,4568.T,-7905.22551196095,-12727.32752789534,-10792.64335953014,-14654.336050073727
20260220,10,7011.T,-6760.81635195112,-9882.25471800942,-8777.957712202318,-11792.172486570576
20260220,10,8035.T,-6259.294467809507,-9238.680034984824,-8151.800108224743,-11013.625161659753
20260223,1,4568.T,-3384.421603336518,-4774.816044904802,-4256.609753829136,-5237.253031942205
20260223,1,7011.T,-2495.092585717543,-3334.3313103195683,-3036.573207785826,-3709.2814753225625
20260223,1,8035.T,-2242.185232876428,-2983.2469485587117,-2784.058633754162,-3689.960939572766
20260223,10,4568.T,-8346.408209629108,-12767.424907307171,-10468.032729062525,-14149.288356616004
20260223,10,7011.T,-6615.835536307237,-9128.351082458785,-8522.585561769745,-11057.511000644236
20260223,10,8035.T,-6175.097674350211,-9124.337532748856,-7843.0037538978095,-9996.58535919253
20260224,1,4568.T,-2772.953341092237,-4022.8821030471354,-3626.3627669086823,-4626.949969690334
20260224,1,7011.T,-2363.15531346287,-3382.016801710668,-2942.919132568015,-3652.0527486417536
20260224,1,8035.T,-2003.7275979646156,-2745.5033894501626,-2468.678875179408,-3201.667112609118
20260224,10,4568.T,-8026.479946495632,-11781.762372991652,-10867.177260792036,-14810.51317961968
20260224,10,7011.T,-6514.021619702692,-9315.063680991749,-8309.616796397191,-11493.850128213877
20260224,10,8035.T,-5930.432964291338,-9761.90919693266,-8394.372706811047,-12135.744098576664
20260225,1,4568.T,-2984.7330847297417,-4471.0914468829715,-3905.57739920478,-5358.498935410836
20260225,1,7011.T,-2386.105345795737,-3326.7344298339244,-2966.8541516206296,-3791.675552875414
20260225,1,8035.T,-2091.368026892189,-2901.0213507859085,-2655.047480638545,-3314.089579637587
20260225,10,4568.T,-8301.004573694403,-13218.991006674018,-11455.352761719792,-16100.651640136515
20260225,10,7011.T,-6873.135514859295,-10567.983224718948,-9146.674889309155,-12398.047016611205
20260225,10,8035.T,-6002.389311781725,-9548.31500155806,-8220.70968506109,-10918.212160423189
20260226,1,4568.T,-3275.9152100317574,-4524.3954462276415,-4081.256943097769,-5378.060952117467
20260226,1,7011.T,-2603.9102970145714,-3495.155029038306,-3162.0959463298855,-3914.750850024276
20260226,1,8035.T,-2096.6469493974905,-2906.529886071979,-2689.197708073869,-3499.7775444509825
20260226,10,4568.T,-8919.019907318689,-13817.95777206474,-11916.009742940369,-15930.320818063828
20260226,10,7011.T,-7256.447994650396,-11431.96233630414,-9720.69727983276,-12709.845078485036
20260226,10,8035.T,-6475.481877552228,-9320.221106492618,-8544.8440802217,-11933.62930421382
20260227,1,4568.T,-3186.8164896448757,-4827.942213697651,-4115.927332411872,-5669.524781995948
20260227,1,7011.T,-2361.873427938175,-3399.194737714911,-3074.5403307140723,-4058.811976270976
20260227,1,8035.T,-2280.219133154774,-3281.9913670387896,-2930.6282514080144,-3889.9086800291007
20260227,10,4568.T,-9355.337853403762,-12372.158949927109,-10957.91666651114,-13087.47498963545
20260227,10,7011.T,-7023.071794335119,-9987.20467908542,-8793.867083708912,-11352.37204194724
20260227,10,8035.T,-6686.351959565048,-9498.124348036066,-8379.755375665909,-10898.917457809152
20260302,1,4568.T,-3056.997765107409,-4772.858416787749,-4013.571046672264,-5412.92184150036
20260302,1,7011.T,-2295.5545611812818,-3353.5000930985016,-3027.809935770137,-3801.7294544193383
20260302,1,8035.T,-2144.5459131020975,-3029.262181616561,-2730.0815568575795,-3423.985836633065
20260302,10,4568.T,-8172.346104548185,-12212.757412439005,-10521.457434803637,-13662.364921423685
20260302,10,7011.T,-7061.9618928830305,-10209.38860917548,-8778.903707602836,-11377.766558709372
20260302,10,8035.T,-6449.501280470732,-9091.535873121358,-8219.686877189302,-10458.56937726931
20260303,1,4568.T,-3338.070271666693,-4765.425788004082,-4167.419855862667,-5197.6258086163625
20260303,1,7011.T,-2342.92338433483,-3290.5103638048276,-2918.6632518173706,-3655.587802156202
20260303,1,8035.T,-2370.6498131940866,-3318.1047598758328,-2991.1980094161736,-3765.34218277317
20260303,10,4568.T,-8203.696168730228,-12529.92201889333,-11050.365591714435,-15428.210211374808
20260303,10,7011.T,-6530.876814093192,-9500.41281028322,-8511.747903448599,-11726.088782834977
20260303,10,8035.T,-6385.421994646654,-10164.955562928282,-8839.167650442792,-11993.54789903586
20260304,1,4568.T,-3624.2324603829898,-5477.229807968103,-4685.092444476358,-6161.307466673315
20260304,1,7011.T,-2353.0898973025664,-3256.1880210546706,-2985.197212890532,-3993.26475283755
20260304,1,8035.T,-2828.5249944310426,-3860.227715810997,-3454.5448820424754,-4512.595896051952
20260304,10,4568.T,-8733.3194643296,-12675.098755858004,-11405.787382116398,-15724.651947181304
20260304,10,7011.T,-7053.027561893611,-9698.39870024988,-8874.561336385288,-11228.576842937566
20260304,10,8035.T,-6803.057519899398,-9199.299304093123,-8495.370827008395,-11192.52780466277
20260305,1,4568.T,-3847.5458101824593,-5775.061286106189,-5035.728573462629,-6254.930541178963
20260305,1,7011.T,-2163.451762098103,-3441.1888066657516,-2896.1006434351452,-3769.0493562377233
20260305,1,8035.T,-3096.437119317565,-4622.362298609255,-4017.464063538699,-4982.338821504076
20260305,10,4568.T,-7909.945218130304,-12597.99806315638,-10931.89178935037,-14499.627410176696
20260305,10,7011.T,-6283.239298283955,-8990.74752833328,-8004.439118016522,-10827.824602475324
20260305,10,8035.T,-6350.76697482263,-10216.173547374674,-8470.96594011496,-11515.474823201996
20260306,1,4568.T,-3621.4770715949608,-4772.247783666414,-4404.270230780365,-5324.089006942803
20260306,1,7011.T,-2268.8463123574497,-3115.7174446174677,-2810.2758407727374,-3393.422044525015
20260306,1,8035.T,-2778.6563894777073,-3760.536589009376,-3387.974690149548,-4169.829436274109
20260306,10,4568.T,-7387.311180320135,-12164.462229469722,-10727.102396012524,-14683.186079563671
20260306,10,7011.T,-6210.285245293176,-8703.133332673428,-7925.136540656409,-10663.0218176026
20260306,10,8035.T,-6682.901477273095,-9234.016864192758,-8402.934544628459,-11274.743227442044
20260309,1,4568.T,-2976.97452190504,-4550.425872466923,-3846.850028682826,-5164.848152701734
20260309,1,7011.T,-2069.3062621666936,-2828.0237170890664,-2602.218477852241,-3504.1171639720887
20260309,1,8035.T,-2268.159398444482,-3083.917089841048,-2784.8772904636653,-3342.9668163058864
20260309,10,4568.T,-7374.557303424488,-11251.905980674406,-10050.140252055027,-13927.73809589722
20260309,10,7011.T,-5972.6601910329155,-8741.68184528018,-7718.099998311914,-9872.933243904958
20260309,10,8035.T,-6106.668495418955,-9435.086737125754,-7945.590889791922,-10585.54370011466
20260310,1,4568.T,-2708.7158458457875,-4159.202987338114,-3637.7200083677,-4794.360903730738
20260310,1,7011.T,-2128.2479745253545,-3133.811085950134,-2683.2036648669628,-3435.3145419013517
20260310,1,8035.T,-2142.6861656734823,-2798.199702514146,-2563.5994639011274,-3075.1569440477274
20260310,10,4568.T,-6904.112195023354,-10439.95485836384,-9159.706864567035,-12802.688995843298
20260310,10,7011.T,-6005.084846746708,-8381.51813287095,-7429.706535115887,-9227.696427668694
20260310,10,8035.T,-5301.9743432423775,-7347.312824692775,-6672.2691482345235,-8626.74743621534
20260311,1,4568.T,-2742.3314314148915,-4232.467440737147,-3670.152777704903,-4564.985174110234
20260311,1,7011.T,-2273.166361656549,-3356.3425193924804,-2865.587112786419,-3666.805106386395
20260311,1,8035.T,-2062.3519961119073,-2998.495922814181,-2701.1751244198967,-3597.788997888189
20260311,10,4568.T,-7549.525264127717,-11259.802384852526,-9924.178375056394,-12324.73166427208
20260311,10,7011.T,-5934.229257830294,-8274.442018155365,-7367.995298676899,-9548.325580809484
20260311,10,8035.T,-5545.856183218157,-7907.507575202489,-7046.18277662173,-9247.334869654816
20260312,1,4568.T,-2857.6767619915177,-3610.603870479407,-3369.935326949367,-4186.544127075962
