date,ticker,company_name,quantity,price,market_value,weight
20260209,4568.T,Daiichi Sankyo,9,2912.707275390625,26214.365478515625,0.2359977929091475
20260209,7011.T,Mitsubishi Heavy Industries,9,4956.9697265625,44612.7275390625,0.4016311302100632
20260209,8035.T,Tokyo Electron,1,40251.765625,40251.765625,0.3623710768807892
20260210,4568.T,Daiichi Sankyo,9,2943.7880859375,26494.0927734375,0.2334679682057531
20260210,7011.T,Mitsubishi Heavy Industries,9,5093.6103515625,45842.4931640625,0.4039675495977046
20260210,8035.T,Tokyo Electron,1,41144.046875,41144.046875,0.3625644821965422
20260211,4568.T,Daiichi Sankyo,9,2943.7880859375,26494.0927734375,0.2334679682057531
20260211,7011.T,Mitsubishi Heavy Industries,9,5093.6103515625,45842.4931640625,0.4039675495977046
20260211,8035.T,Tokyo Electron,1,41144.046875,41144.046875,0.3625644821965422
20260212,4568.T,Daiichi Sankyo,9,2867.319580078125,25805.876220703125,0.2312587163390144
20260212,7011.T,Mitsubishi Heavy Industries,9,4981.90380859375,44837.13427734375,0.4018068609109999
20260212,8035.T,Tokyo Electron,1,40945.76171875,40945.76171875,0.3669344227499856
20260213,4568.T,Daiichi Sankyo,9,2898.400146484375,26085.601318359375,0.231100175748749
20260213,7011.T,Mitsubishi Heavy Industries,9,5017.8095703125,45160.2861328125,0.4000885367672696
20260213,8035.T,Tokyo Electron,1,41629.84375,41629.84375,0.3688112874839813
20260216,4568.T,Daiichi Sankyo,9,2915.667236328125,26241.005126953125,0.2347368326545474
20260216,7011.T,Mitsubishi Heavy Industries,9,4946.99560546875,44522.96044921875,0.3982766157657009
20260216,8035.T,Tokyo Electron,1,41025.07421875,41025.07421875,0.3669865515797516
20260217,4568.T,Daiichi Sankyo,9,2911.227294921875,26201.045654296875,0.2355027825285928
20260217,7011.T,Mitsubishi Heavy Industries,9,4807.36279296875,43266.26513671875,0.3888900452202412
20260217,8035.T,Tokyo Electron,1,41788.46875,41788.46875,0.3756071722511659
20260218,4568.T,Daiichi Sankyo,9,2899.88037109375,26098.92333984375,0.2298089631179293
20260218,7011.T,Mitsubishi Heavy Industries,9,4939.0166015625,44451.1494140625,0.3914058991334243
20260218,8035.T,Tokyo Electron,1,43017.8359375,43017.8359375,0.3787851377486463
20260219,4568.T,Daiichi Sankyo,9,2901.853759765625,26116.683837890625,0.2274674602783804
20260219,7011.T,Mitsubishi Heavy Industries,9,4939.0166015625,44451.1494140625,0.3871544383824907
20260219,8035.T,Tokyo Electron,1,44247.19921875,44247.19921875,0.3853781013391288
20260220,4568.T,Daiichi Sankyo,9,2879.653076171875,25916.877685546875,0.2272061739156481
20260220,7011.T,Mitsubishi Heavy Industries,9,4951.982421875,44567.841796875,0.3907140720115723
20260220,8035.T,Tokyo Electron,1,43582.9453125,43582.9453125,0.3820797540727795
20260223,4568.T,Daiichi Sankyo,9,2879.653076171875,25916.877685546875,0.2272061739156481
20260223,7011.T,Mitsubishi Heavy Industries,9,4951.982421875,44567.841796875,0.3907140720115723
20260223,8035.T,Tokyo Electron,1,43582.9453125,43582.9453125,0.3820797540727795
20260224,4568.T,Daiichi Sankyo,9,2938.361083984375,26445.249755859375,0.2327310882901704
20260224,7011.T,Mitsubishi Heavy Industries,9,4798.38623046875,43185.47607421875,0.3800532397261695
20260224,8035.T,Tokyo Electron,1,43999.34375,43999.34375,0.3872156719836601
20260225,4568.T,Daiichi Sankyo,9,2955.628173828125,26600.653564453125,0.2311291487856214
20260225,7011.T,Mitsubishi Heavy Industries,9,4739.541015625,42655.869140625,0.3706305448960198
20260225,8035.T,Tokyo Electron,1,45833.4765625,45833.4765625,0.3982403063183587
20260226,4568.T,Daiichi Sankyo,9,3010.389404296875,27093.504638671875,0.2335481347020511
20260226,7011.T,Mitsubishi Heavy Industries,9,4888.150390625,43993.353515625,0.3792261573350224
20260226,8035.T,Tokyo Electron,1,44921.3671875,44921.3671875,0.3872257079629264
20260227,4568.T,Daiichi Sankyo,9,3023.216552734375,27208.948974609375,0.2348653298321562
20260227,7011.T,Mitsubishi Heavy Industries,9,5000.85400390625,45007.68603515625,0.3885025120041727
20260227,8035.T,Tokyo Electron,1,43632.515625,43632.515625,0.376632158163671
20260302,4568.T,Daiichi Sankyo,9,2896.4267578125,26067.8408203125,0.2250003537036472
20260302,7011.T,Mitsubishi Heavy Industries,9,5181.37939453125,46632.41455078125,0.4025001472237433
20260302,8035.T,Tokyo Electron,1,43156.6328125,43156.6328125,0.3724994990726095
20260303,4568.T,Daiichi Sankyo,9,2801.21142578125,25210.90283203125,0.2258487593689614
20260303,7011.T,Mitsubishi Heavy Industries,9,4909.09521484375,44181.85693359375,0.3957977086957473
20260303,8035.T,Tokyo Electron,1,42234.609375,42234.609375,0.3783535319352912
20260304,4568.T,Daiichi Sankyo,9,2772.597412109375,24953.376708984375,0.2335842015485524
20260304,7011.T,Mitsubishi Heavy Industries,9,4614.86865234375,41533.81787109375,0.3887908156810453
20260304,8035.T,Tokyo Electron,1,40340.9921875,40340.9921875,0.3776249827704022
20260305,4568.T,Daiichi Sankyo,9,2806.144775390625,25255.302978515625,0.2307981602932329
20260305,7011.T,Mitsubishi Heavy Industries,9,4756.49658203125,42808.46923828125,0.3912095591793003
20260305,8035.T,Tokyo Electron,1,41362.15625,41362.15625,0.3779922805274668
20260306,4568.T,Daiichi Sankyo,9,2828.838623046875,25459.547607421875,0.2322363111732303
