date,scenario,sim_days,Portfolio Value,VaR_95,VaR_99,ES_95,ES_99
20251224,normal,1,32935.06640625,-1559.68466026572,-2229.109039120115,-1985.9373035752017,-2532.575356920611
20251224,stress,1,32935.06640625,-2232.0268731049705,-3002.505093077892,-2679.515639757029,-3275.995857536157
20251224,normal,10,32935.06640625,-4408.191547012302,-6249.898674426025,-5691.807310408299,-7816.307593783834
20251224,stress,10,32935.06640625,-7276.180339630111,-9596.4715844851,-8879.469670516388,-10906.368265086789
20251225,normal,1,33500.17578125,-1550.401869882259,-2114.3804688352443,-1920.5632396160809,-2467.2060013033997
20251225,stress,1,33500.17578125,-2334.773379112391,-3074.9081953165783,-2876.6892617154745,-3660.1081098796153
20251225,normal,10,33500.17578125,-4346.603312120987,-6264.082696726984,-5427.988030607942,-6965.743499405522
20251225,stress,10,33500.17578125,-6959.627754077028,-10122.67575369432,-8695.205705615874,-11186.0268776077
20251226,normal,1,34035.54296875,-1581.394979470056,-2158.0270616572457,-1927.938056525604,-2500.7822590030655
20251226,stress,1,34035.54296875,-2437.4832915271913,-3313.6739349490767,-3002.719120273333,-3681.6716876574737
20251226,normal,10,34035.54296875,-4538.909964046184,-6351.355841779056,-5795.5563478120785,-7325.062010262392
20251226,stress,10,34035.54296875,-7345.764276103685,-10022.841394846551,-9045.413434395385,-11478.566611371814
20251229,normal,1,33936.40234375,-1452.890853246597,-2174.8885156075426,-1841.7723296455108,-2451.7149860872405
20251229,stress,1,33936.40234375,-2368.154628851686,-3347.159894981775,-2996.112710269178,-3849.3524382865
20251229,normal,10,33936.40234375,-4791.72831323905,-6435.60538581657,-5859.622179775047,-7783.788119577352
20251229,stress,10,33936.40234375,-7346.0438420912415,-10407.4570687857,-9178.455206621336,-11953.16924744184
20251230,normal,1,34025.62890625,-1504.2018883746157,-1971.704935765171,-1825.608391454819,-2341.210586130243
20251230,stress,1,34025.62890625,-2548.8192019322373,-3551.4783403580464,-3144.644876403846,-3885.0379476200737
20251230,normal,10,34025.62890625,-4559.887102770902,-6948.883167205321,-5953.458974234921,-7650.114903615002
20251230,stress,10,34025.62890625,-7056.079888463703,-10300.93036503016,-8954.697370002035,-11583.24646939665
20251231,normal,1,34025.62890625,-1481.052775865964,-2039.8301355359,-1868.450705586556,-2386.846009226448
20251231,stress,1,34025.62890625,-2237.3463049554484,-2909.55071990119,-2687.4928551651947,-3400.8195020353073
20251231,normal,10,34025.62890625,-4896.17623446549,-6219.717088857905,-5941.183122721655,-7844.689868271385
20251231,stress,10,34025.62890625,-6994.172892615743,-9839.485795377614,-8753.888746923561,-11539.808140017232
20260101,normal,1,34025.62890625,-1522.261440356931,-2201.784812118958,-1963.1996880565457,-2575.245721399369
20260101,stress,1,34025.62890625,-2393.230048242652,-3284.504458999575,-2936.221672627862,-3663.568942342031
20260101,normal,10,34025.62890625,-4905.717114353015,-6592.188377718555,-5961.462654223866,-7538.888687030647
20260101,stress,10,34025.62890625,-7178.137226887843,-9773.637921171952,-9041.730884060102,-11592.961222023669
